epoch,acc,loss,val_acc,val_loss
0,0.16769999998410542,2.35484447593689,0.54,1.8709624988555908
1,0.3207833333333333,1.9392945686340333,0.6881,1.5520920423507691
2,0.44875,1.6650650342941284,0.7511,1.328745339202881
3,0.5349833333333334,1.468953784751892,0.7829,1.1684527336120605
4,0.5958666666666667,1.318103611946106,0.8023,1.0506135696411132
5,0.6397500000317892,1.2047088238398234,0.8149,0.9606903120040894
6,0.6665166666666666,1.1211412162144978,0.823,0.8899756986618041
7,0.6915500000317891,1.0466260185877483,0.8302,0.8331271125793457
8,0.7099500000317891,0.9908431825955709,0.8363,0.7863617584228516
9,0.7264666666984558,0.9437769930521647,0.8423,0.7473678609848022
10,0.7376833333015442,0.9030815725008646,0.8481,0.7140572967529297
11,0.7484499999682108,0.8681128170013428,0.8517,0.6852856069564819
12,0.7565166666348775,0.8374331815083822,0.856,0.6601190259933472
13,0.7644833333651225,0.8127972784678141,0.859,0.6380685864448548
14,0.7724166666666666,0.7864511918703715,0.8623,0.6184252260684967
15,0.7783833333651224,0.7664126614888509,0.8649,0.6008829109191894
16,0.7843000000317891,0.7452553917884827,0.8667,0.5850596406459808
17,0.787,0.7307244744936625,0.8688,0.5707359654426575
18,0.7930833333333334,0.7154495542844137,0.8704,0.5575984090805054
19,0.7973333333651225,0.6981286170641581,0.8721,0.5456259207725525
