epoch,acc,loss,val_acc,val_loss
0,0.8776999999682109,0.018132577212154864,0.9414,0.009432005655579268
1,0.9391333333015441,0.009566978803277016,0.9561,0.006845728699862957
2,0.9548000000317891,0.007248986446609099,0.963,0.005630725248949602
3,0.9621333333651225,0.006026888105645776,0.9698,0.004715880729351193
4,0.9680333333651224,0.005111238138626019,0.9718,0.004463532934221439
5,0.9723833333015441,0.004509706504270434,0.9749,0.003952844321960584
6,0.9745166666348776,0.004124230360860626,0.975,0.0038830506905796936
7,0.9772000000317892,0.0037260433060427507,0.9791,0.0033492673428438136
8,0.9788333333651225,0.0034504511322826148,0.9787,0.0033475672189088074
9,0.9807333333333333,0.003104210019701471,0.977,0.0034371214531784063
10,0.9824666666984558,0.0029667287907873593,0.9795,0.0031967676049593136
11,0.9833499999682108,0.00277239820069323,0.9802,0.0030742065721602557
12,0.9841500000317891,0.0025934756527654828,0.9808,0.0028719217160625703
13,0.9843833333015442,0.0025117860740050675,0.9826,0.0027946282161829005
14,0.9856333333333334,0.0023753050863820437,0.9814,0.0027267710722670016
15,0.9865833333333334,0.002277388169996751,0.9833,0.0026343475520814535
16,0.9862833333333333,0.0022201582551933823,0.9813,0.0028786020300807648
17,0.9878,0.0020452349376709512,0.9828,0.0026843333641110804
18,0.9872833333015442,0.002071738030373429,0.983,0.0027579638483199234
19,0.9878333333015442,0.0019692132668880126,0.9828,0.0026756526107586977
