epoch,acc,loss,val_acc,val_loss
0,0.8854166666348775,0.3743096353928248,0.9549,0.14623371431827545
1,0.9439666666348775,0.18657298158009847,0.9681,0.10641249696016311
2,0.9551,0.1496076601068179,0.9726,0.08948642359487713
3,0.9609500000317891,0.12757756487528482,0.9759,0.0824866817150265
4,0.9653500000317892,0.11390049480994542,0.9771,0.07916107121668756
5,0.9675333333651225,0.10642769010464351,0.9781,0.07290721174813806
6,0.9685666666666667,0.10008663989702861,0.9802,0.0696472910201177
7,0.9709,0.09216587073206901,0.9789,0.07250365460906177
8,0.9722,0.08735055393775304,0.9789,0.06810792829915881
9,0.9739166666666667,0.08251575418313345,0.9822,0.06803264289507642
10,0.9754666666348776,0.07507328113714853,0.9813,0.06785558600090444
11,0.9749333333651224,0.07508628498911858,0.9814,0.06877868055221625
12,0.9769833333015442,0.07017749325235685,0.9823,0.0654316006617155
13,0.9767833333333333,0.07074368029435475,0.9816,0.06557899201586842
14,0.9786666666348776,0.06693176456987858,0.9829,0.06675741304084659
15,0.9796333333651225,0.06300971657733123,0.983,0.07128652306792792
16,0.9809833333651224,0.060184561331073444,0.9824,0.06729773984015919
17,0.9799666666348775,0.06154847576419512,0.9832,0.06327525121180806
18,0.9798833333333333,0.06045200424691041,0.9818,0.07008260659065563
19,0.9807833333333333,0.05877102890958388,0.9843,0.06359433895619586
