epoch,acc,loss,val_acc,val_loss
0,0.8816833333333334,0.38417076083024343,0.944,0.19389241054058076
1,0.9322833333651225,0.22571709280014038,0.9536,0.150952112531662
2,0.9422833333333334,0.1895751424074173,0.9616,0.12641696131229402
3,0.9484500000317891,0.16765938030083974,0.9653,0.11872578730881214
4,0.9546666666348775,0.14850761229991913,0.9657,0.11480430476665497
5,0.95665,0.14014610249201456,0.9698,0.10023353247791529
6,0.9582999999682108,0.13113922909498216,0.9698,0.09816220853477717
7,0.9609333333015442,0.124427645834287,0.9707,0.09500561379566788
8,0.9631666666984559,0.11950372532208761,0.9725,0.09000276010930539
9,0.9627666666666667,0.11738507193525632,0.974,0.08542176472097636
10,0.9659333333015442,0.10911017755270004,0.9732,0.09181340246498584
11,0.9665833333015442,0.10567426710923512,0.9733,0.087797481585294
12,0.9664166666348776,0.10302523291905721,0.9754,0.08087128760740162
13,0.9680833333015442,0.09899917979141076,0.9744,0.0814755260206759
14,0.9676999999682109,0.0969346065402031,0.9743,0.08510647033266723
15,0.9697666666348775,0.0936631453315417,0.9743,0.08604763499498368
16,0.96965,0.09457427237629891,0.9759,0.0818417312618345
17,0.9705499999682109,0.08979233988523483,0.9772,0.07900405895933509
18,0.9714666666666667,0.08790088277260462,0.9781,0.07447240474112332
19,0.9714833333651225,0.08707633228898048,0.9775,0.07676211747601629
