epoch,acc,loss,val_acc,val_loss
0,0.8615833333333334,0.46907348318099973,0.9333,0.23241875808238982
1,0.9269333333651225,0.2512813892364502,0.9506,0.17167722420692444
2,0.9437166666348775,0.1931799301147461,0.959,0.13926373465061187
3,0.95305,0.1612425015568733,0.9651,0.11447119764983654
4,0.9592999999682108,0.14186503270864487,0.9687,0.10389217687249183
5,0.9643166666666667,0.12501132182280222,0.972,0.09486363838016987
6,0.96695,0.1133292887210846,0.9736,0.08631050370633603
7,0.9698333333651225,0.10258264656464258,0.9755,0.08321907820701599
8,0.9718000000317891,0.09422947455247244,0.9764,0.0777098171055317
9,0.9730833333333333,0.08788354819615682,0.9762,0.07933086956143379
10,0.9747666666984558,0.0835883378903071,0.9767,0.07198431710600853
11,0.9760333333015442,0.07878077449003855,0.9776,0.07272258438840508
12,0.9769166666666667,0.07427357524236043,0.9777,0.06983088689148426
13,0.9786166666666667,0.06997844342589378,0.9777,0.07048111417219043
14,0.9806999999682109,0.06356384144624075,0.9797,0.06749034217521548
15,0.98,0.06450697839260101,0.9785,0.06859955428726972
16,0.9805833333651225,0.06132899716496468,0.9793,0.06824220183454453
17,0.9808000000317891,0.06037637377381325,0.979,0.06513453308604658
18,0.9824000000317892,0.05639052658677101,0.9794,0.06925317817796021
19,0.9825166666348776,0.053557068918148674,0.9793,0.06685238769948483
