epoch,acc,loss,val_acc,val_loss
0,0.9906666666984558,0.0007192469906774932,0.9814,0.0014649182002369684
1,0.99005,0.0007565417056098037,0.9824,0.0013573538071670235
2,0.9906333333015442,0.000728122196709713,0.9823,0.0014551729454633422
3,0.9900833333333333,0.0007672269241609077,0.9824,0.0014272245206181351
4,0.9899833333015442,0.0007663381988371839,0.9823,0.001417470292783972
5,0.9901666666984558,0.0007571004247024878,0.9814,0.0014479855697834018
6,0.9906166666348776,0.0007214632728190433,0.9826,0.0013717278921145464
7,0.9903166666348775,0.0007432447017078327,0.9818,0.0014652148667823098
8,0.9902166666666666,0.0007294479282655326,0.9817,0.0014151484010419615
9,0.9909333333015442,0.0007053195893376445,0.9811,0.0014505256583451061
10,0.9905833333333334,0.0007130887144389514,0.9813,0.0014790712909201217
11,0.9902666666666666,0.000741054060739892,0.9826,0.0014287639343707789
12,0.9907833333333333,0.0006919428262503061,0.9817,0.00145925069265254
13,0.9908666666666667,0.0007044731014999949,0.9816,0.0014310354056072119
14,0.9907,0.0007195428199932697,0.9812,0.0014759450636826013
15,0.9908999999682109,0.0007081414794069739,0.9821,0.0014244421301550143
16,0.9916666666666667,0.0006467460859522059,0.9812,0.001459936457101179
17,0.9908166666984558,0.0006998849087337779,0.9821,0.0013918764690566533
18,0.9910666666666667,0.0006953552827617387,0.9808,0.001467873379156589
19,0.9906833333651225,0.0006905992103655687,0.9815,0.0014709589649215377
