epoch,acc,loss,val_acc,val_loss
0,0.9924500000317892,0.0005580508798040683,0.9827,0.0013444045061122441
1,0.9924999999682108,0.0005669714168223436,0.9827,0.0013540900924174722
2,0.99245,0.0005599050621321415,0.9815,0.001445442180838595
3,0.9924499999682108,0.0005723348671651668,0.9816,0.0013923986023927284
4,0.9925833333651225,0.0005641249978882115,0.9822,0.0013740803536770308
5,0.9930166666666667,0.0005336630063238166,0.9825,0.0013412838955086687
6,0.9923999999682108,0.0005804816428719884,0.9815,0.0014018334398063171
7,0.9924999999682108,0.000564698649480609,0.9827,0.0014076957585084857
8,0.9929833333015442,0.0005422786673855928,0.9814,0.001450044809422197
9,0.9927666666348776,0.0005546830295602073,0.9828,0.0013440195609377087
10,0.9930166666348775,0.0005326977814363393,0.9824,0.0013886684974034399
11,0.9926833333015442,0.000554908650512516,0.9816,0.0014341962861552464
12,0.9926833333333334,0.000540958525640599,0.9812,0.001457183454596621
13,0.9923833333015442,0.0005847407774584402,0.9829,0.0013619410159734485
14,0.9935833333333334,0.0005127985779371859,0.9825,0.0014163194036788003
15,0.9921833333333333,0.0005783744776514747,0.9826,0.00141037987539035
16,0.9927666666666667,0.0005509900584894543,0.982,0.0014359378149030825
17,0.99285,0.0005444265145915173,0.982,0.0013587588051333641
18,0.9933,0.000502111170050163,0.9825,0.0014150495959867556
19,0.9922666666348775,0.0005741388699587939,0.982,0.0014591085967447521
