epoch,acc,loss,val_acc,val_loss
0,0.8878000000317892,0.01649266835997502,0.945,0.008705747813917697
1,0.9442333333333334,0.008710858866820733,0.9603,0.006281086030229926
2,0.9600333333651225,0.006384485120077928,0.9668,0.005155501881614327
3,0.9686166666984558,0.00511277698079745,0.9712,0.004459334869799205
4,0.9729166666666667,0.004390480065469941,0.9721,0.004179360623314278
5,0.977,0.0037389194927954427,0.9763,0.0036251482754771133
6,0.9796500000317891,0.003335315106840183,0.9776,0.0032995016787055647
7,0.9812833333333333,0.003080321615282446,0.9773,0.0033877311257994734
8,0.9821666666348775,0.0028622969075416524,0.98,0.0030530356073519213
9,0.9841999999682108,0.002558531838407119,0.9808,0.002836635395536905
10,0.9859,0.002363297770389666,0.9812,0.0029058267220229937
11,0.9861500000317891,0.0022723060466814785,0.9813,0.002894323378738045
12,0.98675,0.0021404714735535285,0.9821,0.0027081979085800414
13,0.9889833333333333,0.0018876405786722899,0.9822,0.0026511406326157156
14,0.9883499999682108,0.0019027566876107206,0.9816,0.002679678249436711
15,0.9897333333015442,0.0017368120902373145,0.9825,0.0026116680280972105
16,0.9899333333333333,0.001693944626643012,0.9836,0.0025647493592119643
17,0.9900166666348775,0.001598347473400645,0.9839,0.0024505079649094113
18,0.9906666666666667,0.0015388153604619825,0.984,0.0023886458870932986
19,0.9908333333333333,0.0015319392099161632,0.9836,0.002473982728914234
