epoch,acc,loss,val_acc,val_loss
0,0.9831500000317891,0.002601672164661189,0.9797,0.0031391346276595867
1,0.9836166666348776,0.002486430980389317,0.9808,0.0030220073932818196
2,0.9846166666666667,0.0024571200996637344,0.9808,0.002895239276342545
3,0.9845666666666667,0.002370336071619143,0.9817,0.0028784461853399988
4,0.9852499999682108,0.002342333521399026,0.9827,0.002777209763622659
5,0.9854000000317892,0.0022995793497965983,0.9811,0.002910359861458437
6,0.9853499999682108,0.0023092293858528136,0.9825,0.0027611011994993534
7,0.9858166666984558,0.002198114653148999,0.9819,0.0028360891169348177
8,0.9862666666348775,0.002172393014157812,0.9823,0.0027615644874982082
9,0.9870666666348775,0.002039243416922788,0.9823,0.0027693944376186094
10,0.9870166666666667,0.0020500931120167177,0.9828,0.002715793117440535
11,0.9862166666984558,0.00214485953724167,0.9823,0.002772432030349228
12,0.9872999999682108,0.0020108671615521115,0.982,0.0027490608038984645
13,0.9873666666348775,0.0020011258797720073,0.9817,0.002815671896540607
14,0.9880166666348775,0.0019222624242926638,0.9809,0.002885874931730484
15,0.9878166666348775,0.0019380950570727388,0.9831,0.002718569055868102
16,0.9879666666984558,0.0019002503599971532,0.983,0.0026899336178601518
17,0.9873166666984559,0.0019709845401579516,0.9816,0.0027660749101845795
18,0.9884000000317892,0.0017917422717669978,0.9832,0.002624800893970587
19,0.9890333333015442,0.0017690777913609054,0.9824,0.002715517761427691
