epoch,acc,loss,val_acc,val_loss
0,0.37741666668256124,6.897138015238444,0.5222,5.587427638244629
1,0.4416666666825612,5.961268501027425,0.5695,5.42867435760498
2,0.4537166666825612,5.945160447947185,0.5278,5.584518382263184
3,0.4670166666666667,5.888494224802653,0.5882,5.396861862945556
4,0.46779999996821087,5.904177600860596,0.5429,5.5427136329650875
5,0.4801333333015442,5.84604633102417,0.5949,5.3703916542053225
6,0.4948166666666667,5.757172761281331,0.6464,4.093016986846924
7,0.5353833333015442,4.643341062164307,0.6853,3.661895386505127
8,0.5671833333651225,4.224997566095988,0.7015,3.6011021881103518
9,0.5748166666984558,4.18635369275411,0.6895,3.6412486488342286
10,0.5713666666666667,4.1946408004760745,0.682,3.671267610549927
11,0.5834166666666667,4.143793460464478,0.6994,3.609929866409302
12,0.5799,4.144980681228637,0.6989,3.610015367126465
13,0.5757999999682109,4.169449654388428,0.6966,3.6525761405944825
14,0.5721833333651225,4.213940827433269,0.7101,3.562954783630371
15,0.5755666666666667,4.198875292205811,0.7092,3.5778662227630615
16,0.5849666666348775,4.20106410929362,0.7089,3.566177674102783
17,0.5908833333333333,4.104002889506022,0.7009,3.5796922660827635
18,0.5980666666348775,4.0812772925059,0.7004,3.60233491897583
19,0.5981,4.137551621500651,0.7105,3.5476858673095704
